Settlement Date,Settlement Period,System Sell Price(£/MWh),System Buy Price(£/MWh),Net Imbalance Volume(MWh)
21/11/2013,25,57.34,68.87695,357.7204
21/11/2013,26,57.35,66.56244,195.6312
21/11/2013,27,55.28,76.85594,593.5201
21/11/2013,28,55.18,65.70358,453.2193
21/11/2013,29,56.4,64.5129,412.2629
21/11/2013,30,55.38,64.35,223.7167
21/11/2013,31,42.55411,63.25,-163.6892
21/11/2013,32,42.30433,58.52,-165.7677
21/11/2013,33,42.31735,61.78,-527.442
21/11/2013,34,42.72446,85.18,-537.6354
21/11/2013,35,42.41463,77.29,-711.9178
21/11/2013,36,42.5004,72.67,-585.172
21/11/2013,37,42.67869,66.83,-373.1842
21/11/2013,38,42.49091,63.71,-260.3113
21/11/2013,39,42.66873,53.44,-178.1648
21/11/2013,40,42.49722,52.17,-447.9879
21/11/2013,41,42.45233,52.27,-199.2602
21/11/2013,42,51.97,64.33,18.2457
21/11/2013,43,51.19,62.57672,158.3209
21/11/2013,44,44,51.38,-102.3133
21/11/2013,45,44,49.95,-33.6307
21/11/2013,46,42.42119,49.63,-100.4099
21/11/2013,47,38.02969,47.31,-415.7553
21/11/2013,48,37.57454,45.82,-428.3219
22/11/2013,1,37.83839,46.83,-226.925
22/11/2013,2,47.98,62.52266,114.9984
22/11/2013,3,48.68,51.51714,71.548
22/11/2013,4,38.05804,44.8,-141.949
22/11/2013,5,40.92938,43.17,-96.2362
22/11/2013,6,34.10065,41.39,-212.4324
22/11/2013,7,33.47265,37.26,-367.7053
22/11/2013,8,33.20693,36.71,-392.5503
22/11/2013,9,33.86243,38.03,-162.9148
22/11/2013,10,33.0775,37.83,-441.3011
22/11/2013,11,34.35492,39.83,-168.2872
22/11/2013,12,33.63546,40.02,-345.8448
22/11/2013,13,49.25,59,4.089
22/11/2013,14,51.33,64.16896,259.7151
22/11/2013,15,53.4,65.35,184.7603
22/11/2013,16,53.29,74.5409,91.2792
22/11/2013,17,55.4,92.43742,60.6311
22/11/2013,18,58,98.85047,190.6473
22/11/2013,19,55.58,55.58,2.9729
22/11/2013,20,62.66,109.63599,57.9334
22/11/2013,21,63.02,92.56166,172.2349
22/11/2013,22,64.23,71.99076,77.7273
22/11/2013,23,56.46,66.20491,19.026
22/11/2013,24,42.1,56.68,-24.8893
22/11/2013,25,56.75,68.68284,83.6315
22/11/2013,26,42.1,55.11,-0.3167
22/11/2013,27,42.11755,53.77,-215.1798
22/11/2013,28,41.92689,52.81,-283.2415
22/11/2013,29,42.03964,53.04,-228.1309
22/11/2013,30,42.00006,50.81,-379.7834
22/11/2013,31,42.09324,56.86,-232.8081
22/11/2013,32,42.24126,53.4,-230.2727
22/11/2013,33,42.08196,54.56,-374.9573
22/11/2013,34,51.00821,76.3,-30.3584
22/11/2013,35,75.97,130.47687,386.8969
22/11/2013,36,71.79,130.22684,391.9714
22/11/2013,37,65.51,117.35037,370.831
22/11/2013,38,62.71,85.69679,331.5124
22/11/2013,39,52.4,80.51929,621.5409
22/11/2013,40,52.6,64.64993,451.1348
22/11/2013,41,57.25,62.17,201.1094
22/11/2013,42,51.1,62.4,223.8237
22/11/2013,43,48.2,62.6399,455.9061
22/11/2013,44,47.95,62,260.333
22/11/2013,45,46.37,61.59053,53.6549
22/11/2013,46,46.35,61.44216,193.1485
22/11/2013,47,42.16,49.78,-21.086
22/11/2013,48,42,48.92,-99.725
23/11/2013,1,42,48.11,-38.4761
23/11/2013,2,47.54,62.76776,37.6762
23/11/2013,3,46.44,58.94508,151.047
23/11/2013,4,46.41,54,16.298
23/11/2013,5,35.96995,45.9,-73.0984
23/11/2013,6,44.56,53.01323,28.4768
23/11/2013,7,37.86,55.02879,215.9941
23/11/2013,8,36.51,55,47.6312
23/11/2013,9,36.02,55,215.2601
23/11/2013,10,34.61995,35.91,-22.5057
23/11/2013,11,41.03,54.94889,105.6613
23/11/2013,12,34.9864,42.08,-60.2445
23/11/2013,13,35,41.97,-44.8363
23/11/2013,14,39.77626,42.26,-75.8604
23/11/2013,15,42.5,47.94,-6.344
23/11/2013,16,42.5,48.3,-72.5531
23/11/2013,17,55.02,70.71985,336.5173
23/11/2013,18,55.21,100.79069,364.8209
23/11/2013,19,56.43,116.24718,389.108
23/11/2013,20,59.29,111.34703,249.1915
23/11/2013,21,59.69,83.01568,104.6659
23/11/2013,22,42.14231,60.71,-38.9907
23/11/2013,23,40.28538,67.92,-230.3026
23/11/2013,24,42.25346,68.57,-114.7417
23/11/2013,25,42.1314,65.99,-129.1
23/11/2013,26,42.11913,65.16,-252.6665
23/11/2013,27,41.92069,61.19,-737.7
23/11/2013,28,41.79651,60.87,-782.4454
23/11/2013,29,41.76882,58.84,-822.5383
23/11/2013,30,41.28218,57.16,-993.3479
23/11/2013,31,42.12039,64.27,-517.9801
23/11/2013,32,42.1077,65.12,-542.7467
23/11/2013,33,42.03136,61.91,-455.4913
23/11/2013,34,42.6193,77.14,-104.1027
23/11/2013,35,43.46876,83.87,-79.4932
23/11/2013,36,44.06919,84.02,-113.6833
23/11/2013,37,78.21,94.63,6.3974
23/11/2013,38,43.59593,72.21,-156.0444
23/11/2013,39,43.28555,56.91,-237.3855
23/11/2013,40,42.65436,53.85,-361.5967
23/11/2013,41,42.39216,54.28,-339.1402
23/11/2013,42,42.44965,54.16,-490.7368
23/11/2013,43,42.51839,51.07,-277.5291
23/11/2013,44,42.4518,49.84,-294.9836
23/11/2013,45,42.43154,49.23,-181.8393
23/11/2013,46,42.36511,49.03,-206.5676
23/11/2013,47,42.18444,49.65,-370.624
23/11/2013,48,42.09345,49.04,-696.2579
24/11/2013,1,42.1074,48.41,-245.8914
24/11/2013,2,42.12,49.3,-86.909
24/11/2013,3,46.5,61.41024,129.8866
24/11/2013,4,44.61,60,66.7666
24/11/2013,5,41.48154,44.41,-92.2717
24/11/2013,6,41.4184,43.27,-80.6865
24/11/2013,7,40.11,51.72159,207.3033
24/11/2013,8,37.89,52.28327,201.8936
24/11/2013,9,37.27,50.32529,47.6757
24/11/2013,10,40.48997,40.48997,-66.2104
24/11/2013,11,33.49674,37.02,-25.8416
24/11/2013,12,37.69,49,73.7264
24/11/2013,13,38.4,49,74.2813
24/11/2013,14,38,52.19981,177.2722
24/11/2013,15,39.96,49,14.8531
24/11/2013,16,39.89,49,75.6492
24/11/2013,17,40.66,61.479,332.5873
24/11/2013,18,42.73,62.98653,285.1023
24/11/2013,19,39.2302,50.06,-378.9861
24/11/2013,20,40.36861,49.36,-532.6301
24/11/2013,21,42,50.4,-16.1607
24/11/2013,22,42.20192,51.2,-25.0397
24/11/2013,23,43.12671,55.28,-112.7334
24/11/2013,24,55.85,82.13414,117.1738
24/11/2013,25,42.5102,55.53,-109.4234
24/11/2013,26,42.20391,56.57,-153.167
24/11/2013,27,61.48,62.83,112.5583
24/11/2013,28,56.22,64.6743,155.55
24/11/2013,29,54.65,62.5,22.5332
24/11/2013,30,42.67033,53.52,-89.9916
24/11/2013,31,43.13706,50.95,-172.8715
24/11/2013,32,42.66446,50.05,-102.771
24/11/2013,33,50.8875,54.31,-25.4777
24/11/2013,34,65.77,98.01,54.9581
24/11/2013,35,43.21056,86.74,-297.6305
24/11/2013,36,43.8683,85.52,-505.1999
24/11/2013,37,42.70953,78.22,-484.3361
24/11/2013,38,42.42529,67.66,-600.2968
24/11/2013,39,42.38875,57.27,-454.9309
24/11/2013,40,42.29616,55.83,-429.1942
24/11/2013,41,42.26209,57.62,-203.8106
24/11/2013,42,42.31,56.37,-31.481
24/11/2013,43,42.31,55.66,-16.1988
24/11/2013,44,42.24516,53.14,-325.5396
24/11/2013,45,42.1873,51.93,-234.6306
24/11/2013,46,42.17889,48.78,-167.8939
24/11/2013,47,42.11814,52.8,-369.3584
24/11/2013,48,40.43383,48.16,-508.8444
25/11/2013,1,39.21396,47.57,-279.2613
25/11/2013,2,38.95375,45.28,-164.8758
25/11/2013,3,38.93575,41.36,-173.1235
25/11/2013,4,33.90907,40.21,-151.462
25/11/2013,5,33.28063,38.66,-121.4992
25/11/2013,6,33.22071,39.76,-105.4459
25/11/2013,7,37.11,54.3622,156.8663
25/11/2013,8,37.19,55,4.811
25/11/2013,9,38.11,53.99256,69.4827
25/11/2013,10,32.76597,36.56,-152.3894
25/11/2013,11,36.64225,43.58,-102.2579
25/11/2013,12,36.87018,43.99,-267.9718
25/11/2013,13,40.49547,48.91,-359.0548
25/11/2013,14,41.08475,51.71,-200.3556
25/11/2013,15,57.14,66.04237,465.3491
25/11/2013,16,56.14,76.33954,631.9056
25/11/2013,17,56.42,73.74067,339.1
25/11/2013,18,59.59,73.73307,289.1584
25/11/2013,19,72.93,74.50741,456.6749
25/11/2013,20,76.37,76.77819,302.7107
25/11/2013,21,74.6,74.6,59.4671
25/11/2013,22,50.41054,74.73,-57.0182
25/11/2013,23,43.85155,67.72,-177.2764
25/11/2013,24,43.52869,67.38,-237.8152
25/11/2013,25,41.97526,66.86,-269.4503
25/11/2013,26,41.88488,66.1,-328.8584
25/11/2013,27,42.0742,65.62,-533.4325
25/11/2013,28,41.93574,65.91,-754.1269
25/11/2013,29,42.31944,63.66,-484.1109
25/11/2013,30,42.94514,61.53,-321.1985
25/11/2013,31,43.14266,62.71,-199.0916
25/11/2013,32,44.08771,62.97,-17.4485
25/11/2013,33,88.33,126.85796,195.4325
25/11/2013,34,108.4,224.41318,347.7902
25/11/2013,35,108.39,231.50919,448.4711
25/11/2013,36,108.19,251.14588,554.8667
